Type,Country,City,School,Lattitude,Longitude,,
Detector,USA,"Atlanta, Georgia",Georgia State University,33.753589,-84.385421,,
Detector,USA,"Atlanta, Georgia",Georgia State University,33.753589,-84.385421,,
Detector,USA,"Atlanta, Georgia",Georgia State University,33.753589,-84.385421,,
Detector,USA,"Atlanta, Georgia",Georgia State University,33.753589,-84.385421,,
Detector,USA,"Atlanta, Georgia",Georgia State University,33.753589,-84.385421,,
Detector,USA,"Atlanta, Georgia",Frederick Douglas High School,33.753589,-84.385421,,
Detector,USA,"Leominster, Massachusetts",Sky View Middle School,42.541215,-71.71719,,
Detector,USA,"Mt Wilson, California",Mountt Wilson Observatory,34.23,-118.06,,
Detector,USA,"Sunspot, New Mexico",Apache Point Observatory,32.78,-105.82,,
Detector,Sri Lanka,Uva Wellassa,Uva Wellassa University,6.9832,81.0794,,
Detector,Sri Lanka,Colombo,Colombo University,6.901097,79.860434,,
Detector,Sri Lanka,Ruhuna,Ruhuna University,5.9381,80.5761,,
Detector,Colombia,Santa Marta,University of Magdalena,11.2262,-74.1874,,
Detector,Singapore,Singapore,Singapore Management University,1.296168,103.850044,,
Detector,Nigeria,Abuja,National Space Research and Development Agency,9.07,7.49,,
Detector,Serbia,Belgrade,Institute of Physics Belgrade,44.855242,20.390976,,
Detector,Serbia,Belgrade,Institute of Physics Belgrade,44.855242,20.390976,,
Detector,Japan,Nara,Nara Women’s University,34.688192,135.827882,,
Detector,Japan,Matsumoto,"Shinshu University, Matsumoto",36.252433,137.976978,,
Detector,Turkey,Istanbul,Istanbul University,41.013242,28.963761,,
Detector,Turkey,Erzurum,"Turkey National Observatories, Erzurum",36.8212,30.3347,,
Detector,Sweden,Lund,Bilingual Montessori School of Lund,55.717873,13.193432,,